year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state
2006,Ciudad de Mxico,M s de 2 hasta 3 s.m.,848611,815997,32614,0,0,0
2006,Ciudad de Mxico,M s de 3 hasta 5 s.m.,2134051,1324759,809292,0,0,0
2006,Ciudad de Mxico,M s de 5 hasta 10 s.m.,605389,424653,180736,0,0,0
2006,Ciudad de Mxico,No especificado,358945,229704,129241,0,0,0
2006,Ciudad de Mxico,No recibe ingresos,959633,881571,78062,0,0,0
2006,Coahuila,1 salario m¡nimo,69209,64855,4354,0,0,0
2006,Coahuila,Menos de 1 s.m.,222105,210799,11306,0,0,0
2006,Coahuila,M s de 1 hasta 2 s.m.,20005,12107,7898,0,0,0
2006,Coahuila,M s de 10 s.m.,691901,325546,366355,0,0,0
2006,Coahuila,M s de 2 hasta 3 s.m.,337158,318951,18207,0,0,0
2006,Coahuila,M s de 3 hasta 5 s.m.,995875,717056,278819,0,0,0
2006,Coahuila,M s de 5 hasta 10 s.m.,150061,113851,36210,0,0,0
2006,Coahuila,No especificado,35712,23701,12011,0,0,0
2006,Coahuila,No recibe ingresos,173497,160882,12615,0,0,0
2006,Colima,1 salario m¡nimo,11578,11238,340,0,0,0
2006,Colima,Menos de 1 s.m.,135774,116477,19297,0,0,0
2006,Colima,M s de 1 hasta 2 s.m.,8059,6184,1875,0,0,0
2006,Colima,M s de 10 s.m.,175026,67321,107705,0,0,0
2006,Colima,M s de 2 hasta 3 s.m.,99531,96414,3117,0,0,0
2006,Colima,M s de 3 hasta 5 s.m.,97919,61123,36796,0,0,0
2006,Colima,M s de 5 hasta 10 s.m.,36362,26950,9412,0,0,0
2006,Colima,No especificado,11058,7080,3978,0,0,0
2006,Colima,No recibe ingresos,64673,55394,9279,0,0,0
2006,Durango,1 salario m¡nimo,31340,26885,4455,0,0,0
2006,Durango,Menos de 1 s.m.,420940,399176,21764,0,0,0
2006,Durango,M s de 1 hasta 2 s.m.,18347,14411,3936,0,0,0
2006,Durango,M s de 10 s.m.,348987,143931,205056,0,0,0
2006,Durango,M s de 2 hasta 3 s.m.,180582,177568,3014,0,0,0
2006,Durango,M s de 3 hasta 5 s.m.,357643,255418,102225,0,0,0
2006,Durango,M s de 5 hasta 10 s.m.,44458,37957,6501,0,0,0
2006,Durango,No especificado,12847,6990,5857,0,0,0
2006,Durango,No recibe ingresos,105875,97335,8540,0,0,0
2006,Estado de Mxico,1 salario m¡nimo,20934,19092,1842,0,0,0
2006,Estado de Mxico,Menos de 1 s.m.,1215753,1059377,156376,0,0,0
2006,Estado de Mxico,M s de 1 hasta 2 s.m.,83891,67605,16286,0,0,0
